index,indeks,Price [PLN/MWh],Volume [MWh]
2016-01-02,TGe24,118.78,57856.9
2016-01-02,TGeBase,120.6,83955.2
2016-01-03,TGe24,122.09,49260.5
2016-01-03,TGeBase,122.62,82050.9
2016-01-04,TGe24,145.21,47974.1
2016-01-04,TGeBase,141.03,66314.9
2016-01-05,TGe24,174.88,51109.6
2016-01-05,TGeBase,173.67,77522.8
2016-01-06,TGe24,152.96,50749.6
2016-01-06,TGeBase,152.27,75863.9
2016-01-07,TGe24,203.22,53172.1
2016-01-07,TGeBase,201.01,84276.2
2016-01-08,TGe24,182.18,48484.7
2016-01-08,TGeBase,182.34,78794.0
2016-01-09,TGe24,174.21,59651.0
2016-01-09,TGeBase,173.12,92283.9
2016-01-10,TGe24,136.1,51741.0
2016-01-10,TGeBase,137.42,71005.6
2016-01-11,TGe24,230.73,57147.3
2016-01-11,TGeBase,223.12,97128.0
2016-01-12,TGe24,191.72,55871.1
2016-01-12,TGeBase,190.27,91164.9
2016-01-13,TGe24,200.59,59275.6
2016-01-13,TGeBase,198.92,74102.2
2016-01-14,TGe24,241.66,56774.2
2016-01-14,TGeBase,234.92,87208.3
2016-01-15,TGe24,208.56,56710.5
2016-01-15,TGeBase,208.4,85180.0
2016-01-16,TGe24,186.62,68520.5
2016-01-16,TGeBase,182.66,92873.8
2016-01-17,TGe24,149.85,60461.4
2016-01-17,TGeBase,150.63,81681.6
2016-01-18,TGe24,217.22,56807.2
2016-01-18,TGeBase,212.58,86727.0
2016-01-19,TGe24,193.91,51194.5
2016-01-19,TGeBase,197.23,83904.1
2016-01-20,TGe24,194.63,54117.8
2016-01-20,TGeBase,194.01,77361.8
2016-01-21,TGe24,209.14,57139.4
2016-01-21,TGeBase,208.5,93278.7
2016-01-22,TGe24,197.61,60229.2
2016-01-22,TGeBase,198.91,95864.3
2016-01-23,TGe24,162.11,69698.0
2016-01-23,TGeBase,163.7,101745.2
2016-01-24,TGe24,137.47,55708.8
2016-01-24,TGeBase,137.49,74602.1
2016-01-25,TGe24,182.09,54957.5
2016-01-25,TGeBase,182.36,77999.7
2016-01-26,TGe24,161.56,41196.6
2016-01-26,TGeBase,162.84,69991.9
2016-01-27,TGe24,149.82,47594.0
2016-01-27,TGeBase,149.9,74868.8
2016-01-28,TGe24,145.53,48421.8
2016-01-28,TGeBase,145.54,69429.2
2016-01-29,TGe24,141.51,47864.3
2016-01-29,TGeBase,143.18,72151.7
2016-01-30,TGe24,128.18,57154.5
2016-01-30,TGeBase,128.07,84930.6
2016-01-31,TGe24,111.06,49365.0
2016-01-31,TGeBase,112.81,81100.0
2016-02-01,TGe24,147.44,52567.0
2016-02-01,TGeBase,147.44,71995.0
2016-02-02,TGe24,131.63,52146.9
2016-02-02,TGeBase,131.86,70425.4
2016-02-03,TGe24,137.2,55956.8
2016-02-03,TGeBase,135.94,72109.2
2016-02-04,TGe24,139.43,49081.8
2016-02-04,TGeBase,139.3,69087.3
2016-02-05,TGe24,153.88,39629.1
2016-02-05,TGeBase,152.48,60780.6
2016-02-06,TGe24,130.68,48467.1
2016-02-06,TGeBase,130.41,63965.5
2016-02-07,TGe24,109.26,54328.0
2016-02-07,TGeBase,109.96,82999.9
2016-02-08,TGe24,123.72,57960.1
2016-02-08,TGeBase,125.23,81144.5
2016-02-09,TGe24,131.12,53837.8
2016-02-09,TGeBase,130.4,80065.3
2016-02-10,TGe24,145.2,51951.0
2016-02-10,TGeBase,143.98,78460.7
2016-02-11,TGe24,145.9,44034.2
2016-02-11,TGeBase,147.38,68447.6
2016-02-12,TGe24,159.08,48244.7
2016-02-12,TGeBase,159.24,82290.7
2016-02-13,TGe24,142.04,55399.6
2016-02-13,TGeBase,142.67,80668.5
2016-02-14,TGe24,123.1,48123.5
2016-02-14,TGeBase,124.49,73388.3
2016-02-15,TGe24,153.69,43855.8
2016-02-15,TGeBase,149.9,64452.5
2016-02-16,TGe24,157.99,45832.1
2016-02-16,TGeBase,155.3,73795.2
2016-02-17,TGe24,145.38,42123.9
2016-02-17,TGeBase,144.97,59177.8
2016-02-18,TGe24,156.66,53887.0
2016-02-18,TGeBase,155.28,76900.3
2016-02-19,TGe24,165.8,44980.6
2016-02-19,TGeBase,166.4,78869.5
2016-02-20,TGe24,129.36,48656.5
2016-02-20,TGeBase,130.93,65109.3
2016-02-21,TGe24,109.31,49297.8
2016-02-21,TGeBase,109.74,84976.8
2016-02-22,TGe24,124.89,47338.6
2016-02-22,TGeBase,124.15,71114.0
2016-02-23,TGe24,140.38,48071.5
2016-02-23,TGeBase,141.44,75705.1
2016-02-24,TGe24,145.01,43582.4
